
 File: PhaseCurve_i<84_e<81.dat
 Created at 2024-11-09 at 16:27:05
 Created with CreateTable_PhaseCurve.py

 RF = Radiance Factor
 dAverage RF = Standard deviation of average RF

 Radiance Scaling Factor from image header label RADIANCE_SCALING_FACTOR

 Incidence angle < 84˚
 Emission angle < 81˚

 Iterative removal of outliers at the 3-sigma level with a > 1% change in average value
 Note: median values are calculated after iterative outlier removal!

 73 orbits with a total of 1374 images

    Image          phase angle   Average RF  dAverage RF     Q1 RF  Median RF  Q3 RF   # iterations   Radiance Scaling Factor    # valid data points
                       (˚)                                                                              W/m2/ster/micron/DN
C_END
 V0427_0100_UV2       67.86         0.681      0.1909        0.513    0.653    0.823        1               0.09673                      133090
 V0427_0099_UV2       67.89         0.682      0.1910        0.514    0.654    0.824        1               0.09673                      132403
 V0427_0098_UV2       67.93         0.684      0.1911        0.515    0.656    0.826        1               0.09673                      131719
 V0427_0097_UV2       67.96         0.685      0.1912        0.516    0.657    0.829        1               0.09673                      131055
 V0427_0096_UV2       67.99         0.686      0.1913        0.517    0.658    0.829        1               0.09673                      130377
 V2781_0052_UV2       68.09         0.587      0.0959        0.514    0.582    0.645        1               0.07738                       64435
 V0427_0092_UV2       68.14         0.692      0.1915        0.524    0.664    0.837        1               0.09673                      127561
 V0427_0091_UV2       68.17         0.693      0.1916        0.525    0.666    0.838        1               0.09673                      126946
 V0427_0090_UV2       68.21         0.694      0.1915        0.527    0.667    0.839        1               0.09673                      126318
 V2630_0087_UV2       68.21         0.448      0.1260        0.346    0.418    0.528        1               0.07738                      102465
 V0427_0089_UV2       68.24         0.695      0.1916        0.529    0.669    0.841        1               0.09673                      125698
 V0427_0088_UV2       68.27         0.696      0.1915        0.530    0.670    0.842        1               0.09673                      125047
 V0427_0084_UV2       68.42         0.701      0.1915        0.537    0.676    0.847        1               0.09673                      122386
 V0427_0083_UV2       68.45         0.703      0.1916        0.539    0.678    0.849        1               0.09673                      121776
 V0427_0082_UV2       68.48         0.704      0.1915        0.540    0.679    0.850        1               0.09673                      121211
 V0427_0081_UV2       68.52         0.706      0.1919        0.543    0.681    0.852        1               0.09673                      120620
 V2781_0056_UV2       68.54         0.597      0.1000        0.522    0.593    0.657        1               0.07738                       63444
 V0427_0080_UV2       68.55         0.707      0.1919        0.544    0.682    0.853        1               0.09673                      120043
 V2782_0072_UV2       68.56         0.571      0.1140        0.478    0.546    0.659        1               0.07738                       63206
 V0427_0076_UV2       68.69         0.712      0.1924        0.551    0.687    0.858        1               0.09673                      117573
 V0427_0075_UV2       68.73         0.714      0.1927        0.553    0.688    0.859        1               0.09673                      116997
 V0427_0060_UV2       68.75         0.703      0.1862        0.547    0.692    0.830        2               0.09673                      119308
 V0427_0074_UV2       68.76         0.715      0.1927        0.555    0.689    0.860        1               0.09673                      116450
 V0427_0059_UV2       68.78         0.703      0.1863        0.547    0.692    0.831        2               0.09673                      118804
 V0427_0073_UV2       68.79         0.716      0.1929        0.556    0.690    0.861        1               0.09673                      115869
 V0427_0058_UV2       68.81         0.705      0.1870        0.549    0.694    0.832        2               0.09673                      118322
 V0427_0072_UV2       68.83         0.717      0.1930        0.558    0.691    0.862        1               0.09673                      115314
 V0427_0057_UV2       68.84         0.706      0.1871        0.550    0.695    0.833        2               0.09673                      117808
 V0427_0056_UV2       68.87         0.707      0.1876        0.551    0.696    0.834        2               0.09673                      117338
 V0427_0068_UV2       68.97         0.722      0.1933        0.566    0.696    0.865        1               0.09673                      112843
 V0427_0067_UV2       69.00         0.723      0.1934        0.568    0.697    0.866        1               0.09673                      112256
 V0427_0066_UV2       69.03         0.723      0.1934        0.569    0.698    0.866        1               0.09673                      111686
 V0427_0065_UV2       69.07         0.724      0.1934        0.572    0.700    0.867        1               0.09673                      111132
 V0427_0064_UV2       69.10         0.725      0.1935        0.573    0.701    0.869        1               0.09673                      110549
 V2781_0060_UV2       69.13         0.594      0.1021        0.515    0.590    0.657        1               0.07738                       62418
 V0427_0052_UV2       69.21         0.729      0.2044        0.565    0.713    0.854        1               0.09673                      114041
 V0427_0051_UV2       69.25         0.730      0.2050        0.566    0.713    0.855        1               0.09673                      113622
 V0427_0050_UV2       69.30         0.732      0.2058        0.568    0.716    0.857        1               0.09673                      113158
 V0427_0049_UV2       69.34         0.734      0.2065        0.570    0.719    0.861        1               0.09673                      112678
 V0427_0048_UV2       69.38         0.736      0.2069        0.571    0.721    0.862        1               0.09673                      112202
 V2782_0076_UV2       69.64         0.563      0.1163        0.469    0.539    0.652        1               0.07738                       61432
 V0427_0036_UV2       69.67         0.609      0.1209        0.533    0.583    0.649        1               0.09673                      113500
 V0427_0044_UV2       69.71         0.747      0.2090        0.582    0.735    0.875        1               0.09673                      108395
 V0427_0035_UV2       69.72         0.609      0.1206        0.533    0.583    0.649        1               0.09673                      112701
 V0427_0043_UV2       69.75         0.748      0.2091        0.583    0.736    0.876        1               0.09673                      107815
 V0427_0034_UV2       69.78         0.606      0.1204        0.531    0.581    0.646        1               0.09673                      111872
 V0427_0042_UV2       69.79         0.750      0.2090        0.585    0.738    0.877        1               0.09673                      107250
 V0427_0033_UV2       69.83         0.608      0.1208        0.534    0.583    0.648        1               0.09673                      111064
 V0427_0041_UV2       69.84         0.751      0.2090        0.586    0.739    0.879        1               0.09673                      106726
 V0427_0040_UV2       69.88         0.752      0.2091        0.588    0.741    0.881        1               0.09673                      106172
 V0427_0032_UV2       69.89         0.606      0.1208        0.532    0.581    0.645        1               0.09673                      110217
